key_date,date,year,month,day,week_date,oil_value_usd,euro_value_usd,dolar_value_brl,ipc_value_percent_a_m,nasdaq_value
2000-01-04,2000-01-04,2000,1,4,Tuesday,23.95,0.96944224160719,,,3901.69
2000-01-05,2000-01-05,2000,1,5,Wednesday,23.72,0.967940620726373,,,3877.54
2000-01-06,2000-01-06,2000,1,6,Thursday,23.55,0.967755463642988,,,3727.13
2000-01-07,2000-01-07,2000,1,7,Friday,23.35,0.971148687055424,,,3882.62
2000-01-10,2000-01-10,2000,1,10,Monday,22.77,0.973320899521941,,,4049.67
2000-01-11,2000-01-11,2000,1,11,Tuesday,23.93,0.967382243154413,,,3921.19
2000-01-12,2000-01-12,2000,1,12,Wednesday,24.62,0.96850277107924,,,3850.02
2000-01-13,2000-01-13,2000,1,13,Thursday,24.9,0.973413447905018,,,3957.21
2000-01-14,2000-01-14,2000,1,14,Friday,25.5,0.984050260543396,,,4064.27
2000-01-17,2000-01-17,2000,1,17,Monday,25.99,0.986962878279891,,,
2000-01-18,2000-01-18,2000,1,18,Tuesday,26.31,0.985403666950713,,,4130.81
2000-01-19,2000-01-19,2000,1,19,Wednesday,26.17,0.98540845903903,,,4151.29
2000-01-20,2000-01-20,2000,1,20,Thursday,26.26,0.982021195019557,,,4189.51
2000-01-21,2000-01-21,2000,1,21,Friday,27.18,0.988620634064718,,,4235.4
2000-01-24,2000-01-24,2000,1,24,Monday,27.02,0.991373500471762,,,4096.08
2000-01-25,2000-01-25,2000,1,25,Tuesday,27.24,0.997503570344215,,,4167.41
2000-01-26,2000-01-26,2000,1,26,Wednesday,27.18,0.997009364672349,,,4069.91
2000-01-27,2000-01-27,2000,1,27,Thursday,26.91,1.00959378536535,,,4039.56
2000-01-28,2000-01-28,2000,1,28,Friday,26.59,1.02072864321608,,,3887.07
2000-01-31,2000-01-31,2000,1,31,Monday,27.08,1.0286086048383,,,3940.35
2000-02-01,2000-02-01,2000,2,1,Tuesday,27.35,1.02565275831498,1.7745,,4051.98
2000-02-02,2000-02-02,2000,2,2,Wednesday,27.15,1.0229272864425,,,4073.96
2000-02-03,2000-02-03,2000,2,3,Thursday,27.6,1.00878337740153,,,4210.98
2000-02-04,2000-02-04,2000,2,4,Friday,27.48,1.01564730740677,,,4244.14
2000-02-07,2000-02-07,2000,2,7,Monday,27.94,1.0181325492231,,,4321.77
2000-02-08,2000-02-08,2000,2,8,Tuesday,27.61,1.01194570550741,,,4427.5
2000-02-09,2000-02-09,2000,2,9,Wednesday,27.44,1.00573827532313,,,4363.24
2000-02-10,2000-02-10,2000,2,10,Thursday,27.32,1.01184247393912,,,4485.63
2000-02-11,2000-02-11,2000,2,11,Friday,27.82,1.01143430290873,,,4395.45
2000-02-14,2000-02-14,2000,2,14,Monday,28.03,1.01865334476745,,,4418.55
2000-02-15,2000-02-15,2000,2,15,Tuesday,28.12,1.01720149339197,,,4420.77
2000-02-16,2000-02-16,2000,2,16,Wednesday,28.11,1.01163852122319,,,4427.65
2000-02-17,2000-02-17,2000,2,17,Thursday,27.54,1.010003245219,,,4548.92
2000-02-18,2000-02-18,2000,2,18,Friday,27.26,1.01400303542281,,,4411.74
2000-02-21,2000-02-21,2000,2,21,Monday,26.93,1.01133371624196,,,
2000-02-22,2000-02-22,2000,2,22,Tuesday,27.22,0.992356212734449,,,4382.12
2000-02-23,2000-02-23,2000,2,23,Wednesday,27.92,0.995918549163943,,,4550.33
2000-02-24,2000-02-24,2000,2,24,Thursday,28.21,1.00492883708837,,,4617.65
2000-02-25,2000-02-25,2000,2,25,Friday,28.53,1.02502325527649,,,4590.5
2000-02-28,2000-02-28,2000,2,28,Monday,28.7,1.02744789981979,,,4577.85
2000-02-29,2000-02-29,2000,2,29,Tuesday,29.01,1.03489440390433,,,4696.69
2000-03-01,2000-03-01,2000,3,1,Wednesday,29.78,1.02512656062442,1.7412,,4784.08
2000-03-02,2000-03-02,2000,3,2,Thursday,30.12,1.03414439241079,,,4754.51
2000-03-03,2000-03-03,2000,3,3,Friday,29.83,1.03974064375924,,,4914.79
2000-03-06,2000-03-06,2000,3,6,Monday,30.08,,,,4904.85
2000-03-07,2000-03-07,2000,3,7,Tuesday,31.93,,,,4847.84
2000-03-08,2000-03-08,2000,3,8,Wednesday,31.41,1.0388762230455,,,4897.26
2000-03-09,2000-03-09,2000,3,9,Thursday,29.11,1.03350257437071,,,5046.86
2000-03-10,2000-03-10,2000,3,10,Friday,28.97,1.03628734234556,,,5048.62
2000-03-13,2000-03-13,2000,3,13,Monday,29.25,1.0350027498359,,,4907.24
2000-03-14,2000-03-14,2000,3,14,Tuesday,28.83,1.03158532312753,,,4706.63
2000-03-15,2000-03-15,2000,3,15,Wednesday,28.03,1.03179864802472,,,4582.62
2000-03-16,2000-03-16,2000,3,16,Thursday,27.97,1.02818520010426,,,4717.39
2000-03-17,2000-03-17,2000,3,17,Friday,27.87,1.02649533840084,,,4798.13
2000-03-20,2000-03-20,2000,3,20,Monday,25.59,1.02576203595005,,,4610.0
2000-03-21,2000-03-21,2000,3,21,Tuesday,24.93,1.0383349363474,,,4711.68
2000-03-22,2000-03-22,2000,3,22,Wednesday,25.77,1.03887137925859,,,4864.75
2000-03-23,2000-03-23,2000,3,23,Thursday,25.32,1.02692078618225,,,4940.61
2000-03-24,2000-03-24,2000,3,24,Friday,25.74,1.02135880902712,,,4963.03
2000-03-27,2000-03-27,2000,3,27,Monday,25.16,1.03275772843266,,,4958.56
2000-03-28,2000-03-28,2000,3,28,Tuesday,24.8,1.03876319579163,,,4833.89
2000-03-29,2000-03-29,2000,3,29,Wednesday,23.77,1.04879152711143,,,4644.67
2000-03-30,2000-03-30,2000,3,30,Thursday,23.94,1.0384392001612,,,4457.89
2000-03-31,2000-03-31,2000,3,31,Friday,23.98,1.04408047659737,,,4572.83
2000-04-03,2000-04-03,2000,4,3,Monday,24.62,1.04593660808172,,,4223.68
2000-04-04,2000-04-04,2000,4,4,Tuesday,23.26,1.04049728903432,,,4148.89
2000-04-05,2000-04-05,2000,4,5,Wednesday,22.98,1.03790004617625,,,4169.22
2000-04-06,2000-04-06,2000,4,6,Thursday,22.9,1.04136034905266,,,4267.56
2000-04-07,2000-04-07,2000,4,7,Friday,22.63,1.04495856477736,,,4446.45
2000-04-10,2000-04-10,2000,4,10,Monday,21.08,1.03693410545275,,,4188.2
2000-04-11,2000-04-11,2000,4,11,Tuesday,21.05,1.04114330041471,,,4055.9
2000-04-12,2000-04-12,2000,4,12,Wednesday,21.4,1.04135994897807,,,3769.63
2000-04-13,2000-04-13,2000,4,13,Thursday,22.65,1.04747591155889,,,3676.78
2000-04-14,2000-04-14,2000,4,14,Friday,22.13,1.03725461683874,,,3321.29
2000-04-17,2000-04-17,2000,4,17,Monday,22.2,1.0479133198091,,,3539.16
2000-04-18,2000-04-18,2000,4,18,Tuesday,22.67,1.05610561056106,,,3793.57
2000-04-19,2000-04-19,2000,4,19,Wednesday,23.5,1.06171815356501,,,3706.41
2000-04-20,2000-04-20,2000,4,20,Thursday,23.57,1.06375088227201,,,3643.88
2000-04-25,2000-04-25,2000,4,25,Tuesday,23.36,1.08405551178716,,,3711.23
2000-04-26,2000-04-26,2000,4,26,Wednesday,22.9,1.08066047372406,,,3630.09
2000-04-27,2000-04-27,2000,4,27,Thursday,23.07,1.09714292648299,,,3774.03
2000-04-28,2000-04-28,2000,4,28,Friday,23.79,1.09438602442334,,,3860.66
2000-05-02,2000-05-02,2000,5,2,Tuesday,24.73,1.09678480287961,,,3785.45
2000-05-03,2000-05-03,2000,5,3,Wednesday,25.13,1.11588984873247,,,3707.31
2000-05-04,2000-05-04,2000,5,4,Thursday,25.06,1.12227919664009,,,3720.24
2000-05-05,2000-05-05,2000,5,5,Friday,24.93,1.11228436368101,,,3816.82
2000-05-08,2000-05-08,2000,5,8,Monday,26.03,1.11204167846982,,,3669.38
2000-05-09,2000-05-09,2000,5,9,Tuesday,26.69,1.10004380947745,,,3585.01
2000-05-10,2000-05-10,2000,5,10,Wednesday,26.59,1.10137846586569,,,3384.73
2000-05-11,2000-05-11,2000,5,11,Thursday,27.22,1.10821612716234,,,3499.58
2000-05-12,2000-05-12,2000,5,12,Friday,27.98,1.0853496220944,,,3529.06
2000-05-15,2000-05-15,2000,5,15,Monday,28.26,1.09594104741009,,,3607.65
2000-05-16,2000-05-16,2000,5,16,Tuesday,28.78,1.10846485110219,,,3717.57
2000-05-17,2000-05-17,2000,5,17,Wednesday,28.4,1.1147676856321,,,3644.96
2000-05-18,2000-05-18,2000,5,18,Thursday,28.9,1.11563473247317,,,3538.71
2000-05-19,2000-05-19,2000,5,19,Friday,29.01,1.11228309153703,,,3390.4
2000-05-22,2000-05-22,2000,5,22,Monday,28.45,1.10576232217273,,,3364.21
2000-05-23,2000-05-23,2000,5,23,Tuesday,28.12,1.10113160474027,,,3164.55
2000-05-24,2000-05-24,2000,5,24,Wednesday,28.97,1.10380678468711,,,3270.61
2000-05-25,2000-05-25,2000,5,25,Thursday,29.62,1.09450130921209,,,3205.35
2000-05-26,2000-05-26,2000,5,26,Friday,30.09,1.07231050812004,,,3205.11
2000-05-30,2000-05-30,2000,5,30,Tuesday,29.89,1.07242454068241,,,3459.48
2000-05-31,2000-05-31,2000,5,31,Wednesday,29.64,1.06465695617456,,,3400.91
2000-06-01,2000-06-01,2000,6,1,Thursday,29.69,1.07139283422901,1.8075,,3582.5
2000-06-02,2000-06-02,2000,6,2,Friday,29.35,1.05621805792164,,,3813.38
2000-06-05,2000-06-05,2000,6,5,Monday,28.27,1.05299315933179,,,3821.76
2000-06-06,2000-06-06,2000,6,6,Tuesday,28.42,1.04626625748941,,,3756.37
2000-06-07,2000-06-07,2000,6,7,Wednesday,28.32,1.03789980089081,,,3839.26
2000-06-08,2000-06-08,2000,6,8,Thursday,29.34,1.04430195617516,,,3825.56
2000-06-09,2000-06-09,2000,6,9,Friday,29.0,1.04703788160834,,,3874.84
2000-06-12,2000-06-12,2000,6,12,Monday,30.1,1.04670728169423,,,3767.91
2000-06-13,2000-06-13,2000,6,13,Tuesday,30.4,1.04017010516637,,,3851.06
2000-06-14,2000-06-14,2000,6,14,Wednesday,30.12,1.04157798460671,,,3797.41
2000-06-15,2000-06-15,2000,6,15,Thursday,29.77,1.04615972178019,,,3845.74
2000-06-16,2000-06-16,2000,6,16,Friday,28.68,1.03468214711001,,,3860.56
2000-06-19,2000-06-19,2000,6,19,Monday,27.69,1.0431009545849,,,3989.83
2000-06-20,2000-06-20,2000,6,20,Tuesday,28.86,1.04484633075476,,,4013.36
2000-06-21,2000-06-21,2000,6,21,Wednesday,30.71,1.05722220277476,,,4064.01
2000-06-22,2000-06-22,2000,6,22,Thursday,30.61,,,,3936.84
2000-06-23,2000-06-23,2000,6,23,Friday,31.02,1.06590543112282,,,3845.34
2000-06-26,2000-06-26,2000,6,26,Monday,30.9,1.06522321792735,,,3912.12
2000-06-27,2000-06-27,2000,6,27,Tuesday,30.47,1.05588335774961,,,3879.76
2000-06-28,2000-06-28,2000,6,28,Wednesday,31.15,1.06003052794705,,,3940.34
2000-06-29,2000-06-29,2000,6,29,Thursday,31.05,1.04967652495379,,,3877.23
2000-06-30,2000-06-30,2000,6,30,Friday,31.58,1.04714478521897,,,3966.11
2000-07-03,2000-07-03,2000,7,3,Monday,32.15,1.0504482416031,,,3991.93
2000-07-04,2000-07-04,2000,7,4,Tuesday,30.73,1.0489057136738,,,
2000-07-05,2000-07-05,2000,7,5,Wednesday,30.35,1.04736258698037,,,3863.1
2000-07-06,2000-07-06,2000,7,6,Thursday,30.67,1.05033666884878,,,3960.57
2000-07-07,2000-07-07,2000,7,7,Friday,30.62,1.05343368268036,,,4023.2
2000-07-10,2000-07-10,2000,7,10,Monday,30.58,1.04561423884324,,,3980.29
2000-07-11,2000-07-11,2000,7,11,Tuesday,29.83,1.04802169285943,,,3956.42
2000-07-12,2000-07-12,2000,7,12,Wednesday,30.27,1.05868125675104,,,4099.59
2000-07-13,2000-07-13,2000,7,13,Thursday,31.15,1.06511034105417,,,4174.86
2000-07-14,2000-07-14,2000,7,14,Friday,30.82,1.06386354155038,,,4246.18
2000-07-17,2000-07-17,2000,7,17,Monday,28.44,1.06613613856983,,,4274.67
2000-07-18,2000-07-18,2000,7,18,Tuesday,28.46,1.07867677513461,,,4177.17
2000-07-19,2000-07-19,2000,7,19,Wednesday,28.33,1.07960630627936,,,4055.63
2000-07-20,2000-07-20,2000,7,20,Thursday,27.85,1.06978705210276,,,4184.56
2000-07-21,2000-07-21,2000,7,21,Friday,26.68,1.06635804305656,,,4094.45
2000-07-24,2000-07-24,2000,7,24,Monday,26.84,1.06909588877973,,,3981.57
2000-07-25,2000-07-25,2000,7,25,Tuesday,25.78,1.06386266910768,,,4029.57
2000-07-26,2000-07-26,2000,7,26,Wednesday,25.92,1.05867761273366,,,3987.72
2000-07-27,2000-07-27,2000,7,27,Thursday,25.6,1.0711584860816,,,3842.23
2000-07-28,2000-07-28,2000,7,28,Friday,25.96,1.08089100146722,,,3663.0
2000-07-31,2000-07-31,2000,7,31,Monday,25.3,1.07751057900712,,,3766.99
2000-08-01,2000-08-01,2000,8,1,Tuesday,25.24,1.09151511821695,1.8084,,3685.5
2000-08-02,2000-08-02,2000,8,2,Wednesday,26.8,1.09247233147352,,,3658.46
2000-08-03,2000-08-03,2000,8,3,Thursday,27.04,1.10065324461058,,,3759.88
2000-08-04,2000-08-04,2000,8,4,Friday,28.01,1.09956125548431,,,3787.36
2000-08-07,2000-08-07,2000,8,7,Monday,27.56,1.10004593477262,,,3862.99
2000-08-08,2000-08-08,2000,8,8,Tuesday,27.58,1.10613130698341,,,3848.55
2000-08-09,2000-08-09,2000,8,9,Wednesday,28.13,1.10809309216618,,,3853.5
2000-08-10,2000-08-10,2000,8,10,Thursday,28.98,1.09968286620382,,,3759.99
2000-08-11,2000-08-11,2000,8,11,Friday,29.44,1.10576123832452,,,3789.47
2000-08-14,2000-08-14,2000,8,14,Monday,29.24,1.10186487312748,,,3849.69
2000-08-15,2000-08-15,2000,8,15,Tuesday,30.0,1.0937859678455,,,3851.66
2000-08-16,2000-08-16,2000,8,16,Wednesday,29.66,1.090084274916,,,3861.2
2000-08-17,2000-08-17,2000,8,17,Thursday,30.71,1.08925432788385,,,3940.87
2000-08-18,2000-08-18,2000,8,18,Friday,30.76,1.10125431739684,,,3930.34
2000-08-21,2000-08-21,2000,8,21,Monday,31.34,1.10698840031387,,,3953.15
2000-08-22,2000-08-22,2000,8,22,Tuesday,30.18,1.11290786918784,,,3958.21
2000-08-23,2000-08-23,2000,8,23,Wednesday,32.38,1.10747757458392,,,4011.01
2000-08-24,2000-08-24,2000,8,24,Thursday,31.67,1.10649833757803,,,4053.28
2000-08-25,2000-08-25,2000,8,25,Friday,33.26,1.10637289741767,,,4042.68
2000-08-28,2000-08-28,2000,8,28,Monday,33.29,1.10907491125338,,,4070.59
2000-08-29,2000-08-29,2000,8,29,Tuesday,34.03,1.11875960295588,,,4082.17
2000-08-30,2000-08-30,2000,8,30,Wednesday,34.13,1.11663547743979,,,4103.81
2000-08-31,2000-08-31,2000,8,31,Thursday,35.08,1.12391824256022,,,4206.35
2000-09-01,2000-09-01,2000,9,1,Friday,35.09,1.10883206836317,1.8384,,4234.33
2000-09-04,2000-09-04,2000,9,4,Monday,36.02,1.11142229176433,,,
2000-09-05,2000-09-05,2000,9,5,Tuesday,35.72,1.12227620730271,,,4143.18
2000-09-06,2000-09-06,2000,9,6,Wednesday,36.7,1.14713609758249,,,4013.34
