Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict_type: state-based
Africa,,1989,34873
Africa,,1990,64839
Africa,,1991,25480
Africa,,1992,6887
Africa,,1993,15064
Africa,,1994,9605
Africa,,1995,6682
Africa,,1996,7667
Africa,,1997,23582
Africa,,1998,23274
Africa,,1999,61206
Africa,,2000,59714
Africa,,2001,10595
Africa,,2002,7249
Africa,,2003,6430
Africa,,2004,5999
Africa,,2005,1588
Africa,,2006,3694
Africa,,2007,3379
Africa,,2008,4683
Africa,,2009,5610
Africa,,2010,3971
Africa,,2011,8422
Africa,,2012,6527
Africa,,2013,7203
Africa,,2014,10333
Africa,,2015,10282
Africa,,2016,9974
Africa,,2017,9425
Africa,,2018,6838
Africa,,2019,8391
Africa,,2020,11012
Africa,,2021,19445
Africa,,2022,112726
Africa,,1946,0
Africa,,1947,6952
Africa,,1948,0
Africa,,1949,0
Africa,,1950,0
Africa,,1951,0
Africa,,1952,2591
Africa,,1953,2816
Africa,,1954,23896
Africa,,1955,23296
Africa,,1956,23296
Africa,,1957,24231
Africa,,1958,24305
Africa,,1959,24181
Africa,,1960,50680
Africa,,1961,57845
Africa,,1962,26028
Africa,,1963,8506
Africa,,1964,11933
Africa,,1965,11827
Africa,,1966,10664
Africa,,1967,25941
Africa,,1968,39702
Africa,,1969,39651
Africa,,1970,13039
Africa,,1971,11069
Africa,,1972,12574
Africa,,1973,10391
Africa,,1974,15612
Africa,,1975,16132
Africa,,1976,27567
Africa,,1977,29381
Africa,,1978,38199
Africa,,1979,29530
Africa,,1980,34012
Africa,,1981,34780
Africa,,1982,34568
Africa,,1983,39285
Africa,,1984,63800
Africa,,1985,62674
Africa,,1986,65496
Africa,,1987,59738
Africa,,1988,37095
Americas,,1989,8715
Americas,,1990,2610
Americas,,1991,2183
Americas,,1992,2726
Americas,,1993,912
Americas,,1994,1558
Americas,,1995,1127
Americas,,1996,1309
Americas,,1997,653
Americas,,1998,964
Americas,,1999,1449
Americas,,2000,1870
Americas,,2001,2097
Americas,,2002,3379
Americas,,2003,1597
Americas,,2004,1441
Americas,,2005,1389
Americas,,2006,502
Americas,,2007,348
Americas,,2008,284
Americas,,2009,427
Americas,,2010,447
Americas,,2011,202
Americas,,2012,211
Americas,,2013,140
Americas,,2014,119
Americas,,2015,134
Americas,,2016,30
Americas,,2017,0
Americas,,2018,131
Americas,,2019,115
Americas,,2020,28
Americas,,2021,113
Americas,,2022,73
Americas,,1946,1000
Americas,,1947,4000
Americas,,1948,2000
Americas,,1949,40
Americas,,1950,34
Americas,,1951,0
Americas,,1952,450
Americas,,1953,28
Americas,,1954,58
Americas,,1955,800
Americas,,1956,299
Americas,,1957,339
Americas,,1958,300
Americas,,1959,0
Americas,,1960,0
Americas,,1961,279
Americas,,1962,400
Americas,,1963,25
Americas,,1964,230
Americas,,1965,4665
Americas,,1966,400
Americas,,1967,502
Americas,,1968,1010
Americas,,1969,3797
Americas,,1970,1720
Americas,,1971,1650
Americas,,1972,2061
Americas,,1973,3395
Americas,,1974,2575
Americas,,1975,2040
Americas,,1976,2580
Americas,,1977,1717
Americas,,1978,4300
Americas,,1979,9570
Americas,,1980,3599
Americas,,1981,19541
Americas,,1982,14838
Americas,,1983,16913
Americas,,1984,16898
Americas,,1985,13168
Americas,,1986,11638
Americas,,1987,11419
Americas,,1988,6798
Asia and Oceania,,1989,9714
Asia and Oceania,,1990,10065
Asia and Oceania,,1991,15509
Asia and Oceania,,1992,17039
Asia and Oceania,,1993,9385
Asia and Oceania,,1994,12642
Asia and Oceania,,1995,12719
Asia and Oceania,,1996,12034
Asia and Oceania,,1997,11493
Asia and Oceania,,1998,12231
Asia and Oceania,,1999,9244
Asia and Oceania,,2000,13571
Asia and Oceania,,2001,9205
Asia and Oceania,,2002,8308
Asia and Oceania,,2003,5942
Asia and Oceania,,2004,6069
Asia and Oceania,,2005,5371
Asia and Oceania,,2006,9842
Asia and Oceania,,2007,12234
Asia and Oceania,,2008,19146
Asia and Oceania,,2009,25764
Asia and Oceania,,2010,14631
Asia and Oceania,,2011,11968
Asia and Oceania,,2012,12283
Asia and Oceania,,2013,11329
Asia and Oceania,,2014,16636
Asia and Oceania,,2015,21171
